,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
365,KVO3,Perovskite,0.92,2.23,4.32,1.16,1.31,K1 V1 O3,mp-18815,3.0460000000000003,K-O-V,3
368,LaAlO3,Perovskite,2.93,4.27,5.81,1.7,1.3399999999999994,La1 Al1 O3,mp-780422,4.403700000000001,Al-La-O,3
372,LaCrO3,Perovskite,0.66,1.38,4.04,1.43,0.7199999999999999,La1 Cr1 O3,mp-19281,1.913800000000001,Cr-La-O,3
375,LaGaO3,Perovskite,2.89,4.25,5.84,1.66,1.3599999999999999,La1 Ga1 O3,mp-1097026,3.365900000000001,Ga-La-O,3
383,LaNbO3,Perovskite,-0.69,0.22,2.92,1.62,0.9099999999999999,La1 Nb1 O3,,,,3
386,LaNpO3,Perovskite,0.96,2.43,4.12,1.79,1.4700000000000002,La1 Np1 O3,,,,3
389,LaPuO3,Perovskite,0.86,2.27,4.22,1.68,1.4100000000000001,La1 Pu1 O3,,,,3
395,LaTaO3,Perovskite,-0.86,0.46,2.83,1.97,1.32,La1 Ta1 O3,mp-1239192,0.0,La-O-Ta,3
398,LaUO3,Perovskite,0.65,2.08,3.95,1.59,1.4300000000000002,La1 U1 O3,,,,3
399,LaVO3,Perovskite,0.37,1.08,3.83,1.52,0.7100000000000001,La1 V1 O3,mp-19053,0.0,La-O-V,3
409,LuCrO3,Perovskite,0.56,1.38,3.92,1.44,0.8199999999999998,Lu1 Cr1 O3,mp-755471,2.2649000000000004,Cr-Lu-O,3
417,LuNbO3,Perovskite,-0.56,0.27,3.05,1.88,0.8300000000000001,Lu1 Nb1 O3,,,,3
419,LuNpO3,Perovskite,0.76,2.37,3.91,1.94,1.61,Lu1 Np1 O3,mp-1185498,0.04929999999999968,Lu-Np-O,3
421,LuPuO3,Perovskite,0.68,2.18,3.97,1.87,1.5,Lu1 Pu1 O3,,,,3
426,LuTaO3,Perovskite,-0.73,0.34,2.98,2.11,1.07,Lu1 Ta1 O3,,,,3
428,LuUO3,Perovskite,0.52,1.99,3.77,1.81,1.47,Lu1 U1 O3,mp-973536,0.0,Lu-O-U,3
429,LuVO3,Perovskite,0.27,1.04,3.71,1.55,0.77,Lu1 V1 O3,mp-755583,1.5724999999999998,Lu-O-V,3
438,NaCrO3,Perovskite,1.07,2.05,4.38,1.24,0.9799999999999998,Na1 Cr1 O3,mp-1076642,0.0,Cr-Na-O,3
445,NaOsO3,Perovskite,-0.38,0.17,2.79,1.38,0.55,Na1 Os1 O3,mp-998624,0.0,Na-O-Os,3
447,NaPuO3,Perovskite,1.21,2.8,4.35,1.48,1.5899999999999999,Na1 Pu1 O3,mp-976952,0.0,Na-O-Pu,3
453,NaTaO3,Perovskite,-1.24,-0.04,2.26,1.43,1.2,Na1 Ta1 O3,mp-754818,2.7138999999999998,Na-O-Ta,3
454,NaTcO3,Perovskite,0.46,1.59,3.55,1.29,1.1300000000000001,Na1 Tc1 O3,mp-977176,0.0,Na-O-Tc,3
456,NaUO3,Perovskite,1.2,2.72,4.3,1.41,1.5200000000000002,Na1 U1 O3,mp-5788,0.37019999999999964,Na-O-U,3
457,NaVO3,Perovskite,0.77,1.81,4.22,1.25,1.04,Na1 V1 O3,mp-555665,3.0358,Na-O-V,3
463,NdCrO3,Perovskite,0.55,1.22,3.93,1.48,0.6699999999999999,Nd1 Cr1 O3,mp-19062,1.904,Cr-Nd-O,3
472,NdNbO3,Perovskite,-0.5,0.27,3.06,1.61,0.77,Nd1 Nb1 O3,,,,3
474,NdNpO3,Perovskite,0.84,2.47,4.03,1.72,1.6300000000000003,Nd1 Np1 O3,mp-1186312,0.0,Nd-Np-O,3
475,NdOsO3,Perovskite,0.03,0.77,3.4,1.34,0.74,Nd1 Os1 O3,,,,3
478,NdPuO3,Perovskite,0.72,2.25,4.08,1.64,1.53,Nd1 Pu1 O3,,,,3
479,NdReO3,Perovskite,-0.1,1.15,3.25,1.46,1.25,Nd1 Re1 O3,mp-1186326,0.0,Nd-O-Re,3
485,NdTaO3,Perovskite,-0.52,0.57,3.11,1.93,1.0899999999999999,Nd1 Ta1 O3,mp-1186324,0.0,Nd-O-Ta,3
486,NdTcO3,Perovskite,0.2,1.17,3.46,1.41,0.97,Nd1 Tc1 O3,,,,3
488,NdTiO3,Perovskite,-0.28,0.94,3.28,1.1,1.22,Nd1 Ti1 O3,mp-3119,0.0,Nd-O-Ti,3
489,NdUO3,Perovskite,0.54,2.07,3.86,1.57,1.5299999999999998,Nd1 U1 O3,,,,3
490,NdVO3,Perovskite,0.2,0.71,3.65,1.71,0.51,Nd1 V1 O3,mp-19253,0.0,Nd-O-V,3
494,PbCrO3,Perovskite,0.68,1.66,4.15,1.29,0.9799999999999999,Pb1 Cr1 O3,mp-22364,0.0,Cr-O-Pb,3
502,PbNbO3,Perovskite,-0.49,0.43,3.04,1.5,0.9199999999999999,Pb1 Nb1 O3,,,,3
504,PbNpO3,Perovskite,1.08,2.68,4.2,1.58,1.6,Pb1 Np1 O3,,,,3
505,PbOsO3,Perovskite,-0.04,0.68,3.26,1.25,0.7200000000000001,Pb1 Os1 O3,mp-680932,0.0,O-Os-Pb,3
508,PbPuO3,Perovskite,1.0,2.52,4.22,1.52,1.52,Pb1 Pu1 O3,mp-1186799,0.0,O-Pb-Pu,3
513,PbTaO3,Perovskite,-0.72,0.31,2.87,1.68,1.03,Pb1 Ta1 O3,,,,3
514,PbTcO3,Perovskite,0.2,1.39,3.42,1.35,1.19,Pb1 Tc1 O3,mp-687205,0.0,O-Pb-Tc,3
517,PbUO3,Perovskite,0.87,2.4,4.09,1.43,1.5299999999999998,Pb1 U1 O3,,,,3
518,PbVO3,Perovskite,0.41,1.38,3.99,1.35,0.97,Pb1 V1 O3,mp-1070440,0.0,O-Pb-V,3
532,PrCrO3,Perovskite,0.57,1.23,3.94,1.48,0.66,Pr1 Cr1 O3,mp-19353,1.8470000000000004,Cr-O-Pr,3
543,PrNbO3,Perovskite,-0.62,0.25,2.99,1.62,0.87,Pr1 Nb1 O3,mp-975913,0.0,Nb-O-Pr,3
545,PrNpO3,Perovskite,0.92,2.49,4.17,1.75,1.5700000000000003,Pr1 Np1 O3,,,,3
548,PrPuO3,Perovskite,0.83,2.27,4.22,1.66,1.44,Pr1 Pu1 O3,,,,3
553,PrTaO3,Perovskite,-0.78,0.43,2.9,1.94,1.21,Pr1 Ta1 O3,,,,3
555,PrUO3,Perovskite,0.65,2.06,4.0,1.6,1.4100000000000001,Pr1 U1 O3,,,,3
556,PrVO3,Perovskite,0.22,0.82,3.68,1.63,0.6,Pr1 V1 O3,mp-1069346,0.0,O-Pr-V,3
559,RbCrO3,Perovskite,1.18,2.26,4.47,1.09,1.0799999999999998,Rb1 Cr1 O3,mp-1076360,0.0,Cr-O-Rb,3
563,RbNbO3,Perovskite,-0.58,0.51,3.0,1.32,1.0899999999999999,Rb1 Nb1 O3,mp-756063,2.8197,Nb-O-Rb,3
565,RbOsO3,Perovskite,0.06,0.86,3.39,1.17,0.8,Rb1 Os1 O3,mp-998602,0.0,O-Os-Rb,3
566,RbPaO3,Perovskite,-1.17,0.06,2.52,1.23,1.23,Rb1 Pa1 O3,mp-1206844,3.0009999999999994,O-Pa-Rb,3
574,RbTcO3,Perovskite,0.52,1.76,3.66,1.23,1.24,Rb1 Tc1 O3,,,,3
575,RbUO3,Perovskite,1.01,2.6,4.13,1.38,1.59,Rb1 U1 O3,mp-11775,0.45420000000000016,O-Rb-U,3
576,RbVO3,Perovskite,0.84,2.02,4.26,1.12,1.1800000000000002,Rb1 V1 O3,mp-1076638,0.24980000000000002,O-Rb-V,3
591,SmCrO3,Perovskite,0.52,1.2,3.89,1.46,0.6799999999999999,Sm1 Cr1 O3,mp-1105788,2.4802000000000004,Cr-O-Sm,3
599,SmNbO3,Perovskite,-0.43,0.29,3.16,1.57,0.72,Sm1 Nb1 O3,,,,3
602,SmOsO3,Perovskite,0.07,0.8,3.49,1.33,0.73,Sm1 Os1 O3,,,,3
605,SmPuO3,Perovskite,0.52,2.07,3.93,1.59,1.5499999999999998,Sm1 Pu1 O3,mp-981250,0.0,O-Pu-Sm,3
606,SmReO3,Perovskite,-0.05,1.11,3.32,1.45,1.1600000000000001,Sm1 Re1 O3,,,,3
