,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
1,AgBiO3,Perovskite,1.09,3.37,4.23,1.55,2.2800000000000002,Ag1 Bi1 O3,mp-23548,0.0,-1.0157597585833336,0
13,AgNiO3,Perovskite,1.53,3.66,4.34,1.15,2.13,Ag1 Ni1 O3,,,,0
14,AgNpO3,Perovskite,1.11,3.3,4.33,1.79,2.1899999999999995,Ag1 Np1 O3,,,,0
16,AgPdO3,Perovskite,0.96,3.39,3.99,1.19,2.43,Ag1 Pd1 O3,mp-776166,0.0,-0.17711241458333332,0
17,AgPtO3,Perovskite,0.71,2.98,3.68,1.26,2.27,Ag1 Pt1 O3,,,,0
18,AgPuO3,Perovskite,1.03,3.19,4.36,1.75,2.16,Ag1 Pu1 O3,,,,0
19,AgReO3,Perovskite,0.29,2.02,3.44,1.39,1.73,Ag1 Re1 O3,,,,0
22,AgSbO3,Perovskite,0.13,2.33,3.66,1.48,2.2,Ag1 Sb1 O3,mp-545999,0.13329999999999975,-1.4305512215833338,0
26,AgTcO3,Perovskite,0.61,2.26,3.78,1.34,1.65,Ag1 Tc1 O3,,,,0
27,AgTeO3,Perovskite,0.38,2.73,3.84,1.57,2.35,Ag1 Te1 O3,mp-559257,1.3614000000000002,-1.1492649784166666,0
29,AgUO3,Perovskite,0.96,3.07,4.26,1.7,2.11,Ag1 U1 O3,,,,0
30,AgVO3,Perovskite,0.64,2.26,4.14,1.36,1.6199999999999997,Ag1 V1 O3,mp-1178815,1.9488,-1.7460944150833329,0
33,AlBO3,Perovskite,2.3,4.56,5.27,1.07,2.26,Al1 B1 O3,mp-8110,5.8392,-3.1191212330833338,0
37,BaAuO3,Perovskite,2.01,4.42,4.83,1.18,2.41,Ba1 Au1 O3,mp-1183287,0.0,-1.4654473272500006,0
38,BaBiO3,Perovskite,0.69,3.1,3.88,1.18,2.41,Ba1 Bi1 O3,mp-1182285,1.1031000000000004,-1.6009006102500003,0
43,BaCuO3,Perovskite,2.06,4.6,4.99,1.3,2.5399999999999996,Ba1 Cu1 O3,mp-1076800,0.0,-1.66392946725,0
44,BaFeO3,Perovskite,2.22,4.07,5.35,0.99,1.85,Ba1 Fe1 O3,mp-1192651,0.0,-2.1510445065833323,0
57,BaNiO3,Perovskite,1.89,3.69,4.67,1.03,1.8,Ba1 Ni1 O3,mp-1120765,0.0,-1.6965135752500005,0
58,BaNpO3,Perovskite,1.3,3.12,4.53,1.55,1.82,Ba1 Np1 O3,mp-8558,0.0,-3.3776970389999996,0
61,BaPdO3,Perovskite,1.39,3.54,4.15,0.92,2.1500000000000004,Ba1 Pd1 O3,mp-1178510,0.0,-1.6860544372500001,0
64,BaReO3,Perovskite,0.1,1.97,3.43,1.2,1.8699999999999999,Ba1 Re1 O3,mp-1183298,0.0,-2.3726002282499996,0
67,BaSbO3,Perovskite,-0.99,1.31,2.61,1.08,2.3,Ba1 Sb1 O3,,,,0
74,BaTeO3,Perovskite,0.28,2.64,3.66,1.28,2.3600000000000003,Ba1 Te1 O3,mp-556021,3.0703,-2.348481260916667,0
80,BaUO3,Perovskite,1.26,2.96,4.52,1.47,1.7,Ba1 U1 O3,mp-35730,0.0,-3.4872235812500008,0
94,CaCuO3,Perovskite,2.03,4.51,5.01,1.25,2.48,Ca1 Cu1 O3,mp-1099873,0.0,-1.70121123725,0
95,CaFeO3,Perovskite,2.29,4.38,5.45,1.06,2.09,Ca1 Fe1 O3,mp-1001571,0.0,-2.1771351552500002,0
103,CaNiO3,Perovskite,1.75,3.83,4.54,1.05,2.08,Ca1 Ni1 O3,mp-754103,1.2293000000000003,-1.7535192932500003,0
104,CaNpO3,Perovskite,1.24,3.23,4.44,1.6,1.99,Ca1 Np1 O3,,,,0
106,CaPdO3,Perovskite,1.14,3.57,4.04,1.06,2.4299999999999997,Ca1 Pd1 O3,,,,0
107,CaPtO3,Perovskite,0.94,3.21,3.85,1.1,2.27,Ca1 Pt1 O3,mp-4784,1.2953000000000001,-1.9922650702500007,0
108,CaPuO3,Perovskite,1.18,3.13,4.44,1.57,1.95,Ca1 Pu1 O3,,,,0
109,CaReO3,Perovskite,0.21,2.2,3.49,1.25,1.9900000000000002,Ca1 Re1 O3,,,,0
117,CaTeO3,Perovskite,0.47,3.01,3.83,1.33,2.54,Ca1 Te1 O3,mp-1228456,3.1072,-2.3963406285833333,0
119,CaTiO3,Perovskite,1.44,3.84,4.7,1.17,2.4,Ca1 Ti1 O3,mp-5827,1.8284999999999996,-3.492382935916667,0
120,CaUO3,Perovskite,1.22,3.07,4.46,1.53,1.8499999999999999,Ca1 U1 O3,,,,0
134,CdNiO3,Perovskite,1.69,3.69,4.46,1.17,2.0,Cd1 Ni1 O3,,,,0
135,CdNpO3,Perovskite,1.27,3.04,4.45,1.67,1.77,Cd1 Np1 O3,,,,0
137,CdPdO3,Perovskite,1.0,3.35,3.94,1.19,2.35,Cd1 Pd1 O3,,,,0
138,CdPtO3,Perovskite,0.72,2.97,3.65,1.23,2.25,Cd1 Pt1 O3,,,,0
139,CdPuO3,Perovskite,1.2,2.88,4.45,1.64,1.68,Cd1 Pu1 O3,,,,0
140,CdReO3,Perovskite,-0.01,1.75,3.16,1.36,1.76,Cd1 Re1 O3,,,,0
146,CdTeO3,Perovskite,0.42,2.76,3.84,1.47,2.34,Cd1 Te1 O3,mp-28290,2.9646,-1.5298191898333329,0
148,CdUO3,Perovskite,1.16,2.82,4.4,1.6,1.66,Cd1 U1 O3,,,,0
152,CeAlO3,Perovskite,2.1,4.19,5.05,1.69,2.0900000000000003,Ce1 Al1 O3,mp-5323,0.0,-3.6047590182499993,0
153,CeBiO3,Perovskite,1.09,3.2,4.24,1.37,2.1100000000000003,Ce1 Bi1 O3,,,,0
156,CeCuO3,Perovskite,1.7,4.08,4.72,1.37,2.38,Ce1 Cu1 O3,mp-977389,0.0,-2.3357207562500006,0
165,CeNiO3,Perovskite,1.47,3.49,4.27,1.17,2.0200000000000005,Ce1 Ni1 O3,mp-776207,0.5667,-2.7498186337499995,0
167,CePdO3,Perovskite,0.81,3.02,3.83,1.19,2.21,Ce1 Pd1 O3,,,,0
168,CePtO3,Perovskite,0.39,2.54,3.54,1.22,2.15,Ce1 Pt1 O3,,,,0
172,CeSbO3,Perovskite,-0.27,1.88,3.34,1.27,2.15,Ce1 Sb1 O3,mp-38685,0.0,-2.4836787292500007,0
175,CeTiO3,Perovskite,1.19,2.87,4.4,1.3,1.6800000000000002,Ce1 Ti1 O3,mp-754524,0.0,-3.4992100989166666,0
182,CsIO3,Perovskite,2.74,4.65,5.45,1.51,1.9100000000000001,Cs1 I1 O3,mp-613384,0.0,0.5802867591637927,0
184,DyBiO3,Perovskite,1.05,3.12,4.19,1.54,2.0700000000000003,Dy1 Bi1 O3,mp-1207000,0.0,-1.6976553772500005,0
187,DyCuO3,Perovskite,1.47,3.81,4.48,1.46,2.34,Dy1 Cu1 O3,mp-1183771,0.0,-2.2359103252500008,0
196,DyNiO3,Perovskite,1.26,3.24,4.08,1.21,1.9800000000000002,Dy1 Ni1 O3,mp-19265,0.0,-2.5041559127500017,0
