,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
2,AgCoO3,Perovskite,1.59,3.28,4.66,0.92,1.6899999999999997,Ag1 Co1 O3,mp-753992,0.0,-0.7389644645833329,1
5,AgFeO3,Perovskite,1.71,3.57,4.85,0.74,1.8599999999999999,Ag1 Fe1 O3,mp-1184234,0.0,-0.6978621085833332,1
8,AgIrO3,Perovskite,0.93,2.51,4.02,0.71,1.5799999999999996,Ag1 Ir1 O3,,,,1
9,AgMnO3,Perovskite,1.57,3.14,4.78,0.77,1.57,Ag1 Mn1 O3,mp-754229,0.0,-1.191274094169541,1
20,AgRhO3,Perovskite,0.32,2.2,3.34,0.8,1.8800000000000001,Ag1 Rh1 O3,,,,1
21,AgRuO3,Perovskite,0.65,2.35,3.84,0.65,1.7000000000000002,Ag1 Ru1 O3,mp-776168,0.0,-0.9966882935833332,1
42,BaCrO3,Perovskite,1.47,2.56,4.79,1.01,1.09,Ba1 Cr1 O3,mp-557081,0.0,-2.5394124495357153,1
51,BaIrO3,Perovskite,1.85,3.22,5.18,0.73,1.37,Ba1 Ir1 O3,mp-5660,0.0,-1.8806445332500004,1
52,BaIrO3,Perovskite,0.84,2.12,3.89,0.54,1.2800000000000002,Ba1 Ir1 O3,mp-5660,0.0,-1.8806445332500004,1
53,BaMnO3,Perovskite,1.89,3.25,5.07,0.74,1.36,Ba1 Mn1 O3,mp-675227,0.8679000000000001,-2.468413956836207,1
63,BaPtO3,Perovskite,1.12,2.94,3.99,0.6,1.8199999999999998,Ba1 Pt1 O3,mp-1214788,0.4158999999999997,-1.8077473963928565,1
65,BaRhO3,Perovskite,0.66,2.19,3.52,0.3,1.5299999999999998,Ba1 Rh1 O3,mp-7685,0.0,-1.9980356467499996,1
66,BaRuO3,Perovskite,0.5,1.96,3.46,0.27,1.46,Ba1 Ru1 O3,mp-5773,0.0,-2.1889823865833336,1
81,BaVO3,Perovskite,1.07,2.31,4.53,0.99,1.24,Ba1 V1 O3,mp-19150,0.0,-2.8310133792500016,1
88,BeIrO3,Perovskite,1.65,3.08,4.95,0.64,1.4300000000000002,Be1 Ir1 O3,,,,1
92,CaCoO3,Perovskite,2.07,3.54,5.02,1.05,1.4700000000000002,Ca1 Co1 O3,mp-1399298,0.0,-1.5641427942499995,1
93,CaCrO3,Perovskite,1.15,2.51,4.46,1.09,1.3599999999999999,Ca1 Cr1 O3,mp-20772,0.40690000000000026,-2.6190433567499993,1
99,CaIrO3,Perovskite,1.0,2.47,4.21,0.72,1.4700000000000002,Ca1 Ir1 O3,mp-555735,0.0,-2.07821767425,1
100,CaMnO3,Perovskite,1.81,3.38,5.05,0.58,1.5699999999999998,Ca1 Mn1 O3,mp-19201,0.4685999999999999,-2.5012014403362075,1
110,CaRhO3,Perovskite,0.47,2.23,3.45,0.8,1.76,Ca1 Rh1 O3,mp-1193602,0.0,-2.093583765250001,1
111,CaRuO3,Perovskite,0.81,2.44,4.05,0.7,1.63,Ca1 Ru1 O3,mp-20947,0.0,-2.2274519907499992,1
121,CaVO3,Perovskite,0.93,2.16,4.36,0.97,1.23,Ca1 V1 O3,mp-22608,0.43389999999999995,-2.9371073737500004,1
125,CdCoO3,Perovskite,1.87,3.14,4.9,0.96,1.27,Cd1 Co1 O3,mp-752746,0.0,-1.0998680452499996,1
127,CdFeO3,Perovskite,1.92,3.45,5.04,0.77,1.5300000000000002,Cd1 Fe1 O3,mp-1639105,0.0,-1.3094117822499995,1
130,CdIrO3,Perovskite,0.74,2.08,3.88,0.73,1.34,Cd1 Ir1 O3,mp-2647004,0.0,-1.1954533839166668,1
131,CdMnO3,Perovskite,1.76,3.05,4.95,0.79,1.2899999999999998,Cd1 Mn1 O3,mp-1016854,0.0,-1.4198787748362072,1
141,CdRhO3,Perovskite,0.25,1.81,3.25,0.85,1.56,Cd1 Rh1 O3,mp-1016875,0.0,-0.8539169532499997,1
142,CdRuO3,Perovskite,0.49,1.92,3.67,0.67,1.43,Cd1 Ru1 O3,mp-1016849,0.0,-1.0873130392500001,1
154,CeCoO3,Perovskite,1.31,2.93,4.37,0.92,1.62,Ce1 Co1 O3,,,,1
157,CeFeO3,Perovskite,1.49,3.15,4.64,0.71,1.66,Ce1 Fe1 O3,mp-864636,0.0,-2.5743198562500007,1
160,CeIrO3,Perovskite,0.35,1.68,3.64,0.73,1.33,Ce1 Ir1 O3,,,,1
162,CeMnO3,Perovskite,1.35,2.66,4.59,0.81,1.31,Ce1 Mn1 O3,mp-1183706,0.0,-2.7935649198362063,1
170,CeRhO3,Perovskite,-0.02,1.51,3.17,0.91,1.53,Ce1 Rh1 O3,mp-1213826,0.0,-2.55429196475,1
171,CeRuO3,Perovskite,0.29,1.65,3.57,0.73,1.3599999999999999,Ce1 Ru1 O3,,,,1
179,Co0.5Ir0.5O2,Bimetallic oxide,0.65,2.0,3.62,0.39,1.35,Co0.5 Ir0.5 O2,,,,1
180,Co0.5Ir0.5O2,Bimetallic oxide,0.65,2.33,3.94,0.45,1.6800000000000002,Co0.5 Ir0.5 O2,,,,1
181,Co0.5Ir0.5O2,Bimetallic oxide,0.61,1.96,3.62,0.43,1.35,Co0.5 Ir0.5 O2,,,,1
185,DyCoO3,Perovskite,1.31,3.12,4.43,0.87,1.81,Dy1 Co1 O3,mp-22137,1.1923999999999997,-2.61629198325,1
188,DyFeO3,Perovskite,1.26,3.23,4.47,0.67,1.97,Dy1 Fe1 O3,mp-22283,0.9134000000000002,-2.852824009250001,1
192,DyIrO3,Perovskite,0.57,1.78,3.8,0.65,1.21,Dy1 Ir1 O3,,,,1
193,DyMnO3,Perovskite,1.19,2.73,4.4,0.76,1.54,Dy1 Mn1 O3,mp-542479,0.0,-3.0605283725028736,1
203,DyRhO3,Perovskite,0.08,1.46,3.27,0.76,1.38,Dy1 Rh1 O3,mp-1212884,0.8883000000000001,-2.5846843722500004,1
204,DyRuO3,Perovskite,0.4,1.65,3.68,0.65,1.25,Dy1 Ru1 O3,,,,1
218,ErCoO3,Perovskite,1.25,3.03,4.38,0.86,1.7799999999999998,Er1 Co1 O3,mp-562779,1.4471000000000003,-2.65891039875,1
221,ErFeO3,Perovskite,1.21,3.12,4.42,0.67,1.9100000000000001,Er1 Fe1 O3,mp-19935,1.3727,-2.8649014807499995,1
224,ErIrO3,Perovskite,0.47,1.67,3.71,0.66,1.2,Er1 Ir1 O3,mp-1184162,0.0,-1.77003566925,1
225,ErMnO3,Perovskite,1.14,2.62,4.35,0.75,1.4800000000000002,Er1 Mn1 O3,mp-19319,0.2488999999999999,-3.048853421836207,1
232,ErRhO3,Perovskite,0.03,1.4,3.23,0.8,1.3699999999999999,Er1 Rh1 O3,mp-1213022,0.9642,-2.5973821062499995,1
233,ErRuO3,Perovskite,0.36,1.59,3.67,0.68,1.23,Er1 Ru1 O3,,,,1
242,EuCoO3,Perovskite,1.55,3.02,4.68,0.96,1.47,Eu1 Co1 O3,mp-1212757,0.0,-2.220310743249999,1
245,EuFeO3,Perovskite,1.54,3.24,4.8,0.73,1.7000000000000002,Eu1 Fe1 O3,mp-504703,0.0,-2.433760557250001,1
248,EuIrO3,Perovskite,0.53,1.68,3.76,0.69,1.15,Eu1 Ir1 O3,mp-1184445,0.0,-1.900873739250001,1
249,EuMnO3,Perovskite,1.49,2.74,4.72,0.8,1.2500000000000002,Eu1 Mn1 O3,mp-20614,0.0,-2.6597569273362067,1
259,EuRhO3,Perovskite,0.01,1.43,3.17,0.83,1.42,Eu1 Rh1 O3,mp-19801,0.0,-2.21282572775,1
260,EuRuO3,Perovskite,0.29,1.57,3.57,0.66,1.28,Eu1 Ru1 O3,mp-866036,0.0,-2.1673122792499995,1
272,Fe0.5Ir0.5O2,Bimetallic oxide,0.42,1.86,3.52,0.43,1.4400000000000002,Fe0.5 Ir0.5 O2,,,,1
275,GdCoO3,Perovskite,1.22,2.98,4.33,0.83,1.76,Gd1 Co1 O3,mp-20951,0.0,-2.335253174249999,1
278,GdFeO3,Perovskite,1.19,3.1,4.43,0.65,1.9100000000000001,Gd1 Fe1 O3,mp-600576,0.0,-2.7979366297499992,1
281,GdIrO3,Perovskite,0.49,1.71,3.72,0.65,1.22,Gd1 Ir1 O3,,,,1
282,GdMnO3,Perovskite,1.11,2.57,4.38,0.74,1.4599999999999997,Gd1 Mn1 O3,mp-510575,0.4040999999999997,-2.9827164938362074,1
289,GdRhO3,Perovskite,0.07,1.44,3.26,0.75,1.3699999999999999,Gd1 Rh1 O3,mp-1184503,0.0,-2.0723764092500003,1
290,GdRuO3,Perovskite,0.37,1.62,3.65,0.63,1.25,Gd1 Ru1 O3,,,,1
297,HfCoO3,Perovskite,1.14,2.91,4.25,0.86,1.7700000000000002,Hf1 Co1 O3,mp-753534,2.4865,-2.8315407322499992,1
300,HfFeO3,Perovskite,1.22,3.08,4.41,0.69,1.86,Hf1 Fe1 O3,mp-753856,2.9099000000000004,-2.9426051702500002,1
303,HfMnO3,Perovskite,1.13,2.59,4.34,0.78,1.46,Hf1 Mn1 O3,mp-754657,2.6129000000000002,-3.172475673836206,1
313,HoCoO3,Perovskite,1.29,2.95,4.37,0.87,1.6600000000000001,Ho1 Co1 O3,mp-20570,0.0,-2.64003413125,1
316,HoFeO3,Perovskite,1.25,3.07,4.44,0.67,1.8199999999999998,Ho1 Fe1 O3,mp-19785,1.5675,-2.8588766147499998,1
319,HoIrO3,Perovskite,0.37,1.5,3.59,0.67,1.13,Ho1 Ir1 O3,,,,1
320,HoMnO3,Perovskite,1.2,2.58,4.37,0.76,1.3800000000000001,Ho1 Mn1 O3,mp-22081,0.43510000000000026,-3.043501464836207,1
327,HoRhO3,Perovskite,-0.08,1.28,3.12,0.83,1.36,Ho1 Rh1 O3,mp-1212108,0.9605999999999995,-2.59125744725,1
328,HoRuO3,Perovskite,0.23,1.43,3.52,0.68,1.2,Ho1 Ru1 O3,,,,1
338,IrO2,Bimetallic oxide,0.09,1.47,3.21,0.51,1.38,Ir1 O2,,,,1
339,IrO2,Bimetallic oxide,0.08,1.56,3.27,0.48,1.48,Ir1 O2,,,,1
340,IrO2,Bimetallic oxide,0.96,2.35,4.09,0.51,1.3900000000000001,Ir1 O2,,,,1
341,IrO2,Bimetallic oxide,0.46,2.12,3.57,0.42,1.6600000000000001,Ir1 O2,,,,1
345,KIrO3,Perovskite,1.05,2.55,4.14,0.67,1.4999999999999998,K1 Ir1 O3,mp-639811,0.0,-1.5148358551833334,1
346,KMnO3,Perovskite,1.85,3.34,4.98,0.75,1.4899999999999998,K1 Mn1 O3,mp-1184948,0.0,-1.4824746874362078,1
356,KRhO3,Perovskite,0.57,2.29,3.46,0.68,1.7200000000000002,K1 Rh1 O3,mp-975134,0.0,-1.1891898658500004,1
357,KRuO3,Perovskite,1.23,2.86,4.16,0.4,1.63,K1 Ru1 O3,mp-973958,0.0,-1.53793592985,1
371,LaCoO3,Perovskite,0.4,2.43,3.51,0.8,2.0300000000000002,La1 Co1 O3,mp-573180,0.4388000000000005,-2.52916055325,1
374,LaFeO3,Perovskite,1.45,3.17,4.72,0.49,1.72,La1 Fe1 O3,mp-605340,1.4671999999999996,-2.5617962947500006,1
379,LaIrO3,Perovskite,0.14,1.69,3.41,0.72,1.5499999999999998,La1 Ir1 O3,,,,1
381,LaMnO3,Perovskite,1.11,2.38,4.43,0.82,1.2699999999999998,La1 Mn1 O3,mp-645158,0.6482999999999999,-2.714677094836206,1
391,LaRuO3,Perovskite,0.15,1.67,3.42,0.68,1.52,La1 Ru1 O3,mp-20472,0.0,-2.5608671537500003,1
396,LaTiO3,Perovskite,-0.06,1.34,3.5,0.93,1.4000000000000001,La1 Ti1 O3,mp-22013,0.0,-3.640449205916667,1
408,LuCoO3,Perovskite,1.21,2.84,4.27,0.86,1.63,Lu1 Co1 O3,mp-550950,0.0,-2.6455944682499997,1
411,LuFeO3,Perovskite,1.26,3.02,4.42,0.65,1.76,Lu1 Fe1 O3,mp-1193395,0.0,-2.9025468435833326,1
414,LuIrO3,Perovskite,0.26,1.62,3.56,0.66,1.36,Lu1 Ir1 O3,,,,1
415,LuMnO3,Perovskite,1.19,2.51,4.36,0.75,1.3199999999999998,Lu1 Mn1 O3,mp-21125,0.44819999999999993,-3.061010762336207,1
422,LuRhO3,Perovskite,-0.02,1.45,3.18,0.79,1.47,Lu1 Rh1 O3,mp-973681,0.0,-1.88940016325,1
423,LuRuO3,Perovskite,0.24,1.58,3.56,0.67,1.34,Lu1 Ru1 O3,,,,1
433,Mo0.5Ir0.5O3,Bimetallic oxide,1.24,2.95,4.53,0.48,1.7100000000000002,Mo0.5 Ir0.5 O3,,,,1
434,Mo0.5Ir0.5O3,Bimetallic oxide,0.86,2.58,3.85,0.49,1.7200000000000002,Mo0.5 Ir0.5 O3,,,,1
435,Mo0.5Ir0.5O3,Bimetallic oxide,0.95,2.53,3.87,0.35,1.5799999999999998,Mo0.5 Ir0.5 O3,,,,1
436,Mo0.5Ir0.5O3,Bimetallic oxide,1.68,3.41,4.7,0.5,1.7300000000000002,Mo0.5 Ir0.5 O3,,,,1
440,NaIrO3,Perovskite,0.82,2.05,3.88,0.73,1.23,Na1 Ir1 O3,mp-1079568,0.0,-1.4764746595603448,1
441,NaMnO3,Perovskite,1.82,3.18,4.95,0.78,1.36,Na1 Mn1 O3,,,,1
443,NaNbO3,Perovskite,-0.6,0.71,2.9,0.97,1.31,Na1 Nb1 O3,mp-559354,1.7302,-2.810257513060345,1
449,NaRhO3,Perovskite,0.35,1.89,3.23,0.81,1.54,Na1 Rh1 O3,,,,1
450,NaRuO3,Perovskite,0.57,1.98,3.63,0.67,1.4100000000000001,Na1 Ru1 O3,mp-977107,0.0,-1.523224144560345,1
465,NdFeO3,Perovskite,1.26,3.27,4.49,0.69,2.01,Nd1 Fe1 O3,mp-601267,0.0,-2.1334707477500006,1
469,NdIrO3,Perovskite,0.44,1.68,3.72,0.7,1.24,Nd1 Ir1 O3,,,,1
470,NdMnO3,Perovskite,1.19,2.75,4.44,0.81,1.56,Nd1 Mn1 O3,mp-20852,1.8980000000000001,-2.9642421883362062,1
480,NdRhO3,Perovskite,0.01,1.39,3.2,0.88,1.38,Nd1 Rh1 O3,mp-4582,0.6487000000000007,-2.4959258002500007,1
481,NdRuO3,Perovskite,0.34,1.59,3.63,0.7,1.25,Nd1 Ru1 O3,,,,1
493,PbCoO3,Perovskite,1.51,3.04,4.59,0.99,1.53,Pb1 Co1 O3,mp-770488,0.0,-1.1832375249999998,1
496,PbFeO3,Perovskite,1.54,3.26,4.71,0.82,1.7199999999999998,Pb1 Fe1 O3,mp-973579,0.0,-1.357449325249999,1
498,PbIrO3,Perovskite,0.5,1.69,3.75,0.82,1.19,Pb1 Ir1 O3,,,,1
500,PbMnO3,Perovskite,1.45,2.84,4.65,0.87,1.39,Pb1 Mn1 O3,mp-510672,0.0,-1.6440855021695397,1
510,PbRhO3,Perovskite,-0.06,1.45,3.14,0.96,1.51,Pb1 Rh1 O3,,,,1
511,PbRuO3,Perovskite,0.27,1.58,3.55,0.78,1.31,Pb1 Ru1 O3,mp-974337,0.0,-1.3059536892500005,1
522,Pd0.5Ir0.5O2,Bimetallic oxide,0.83,2.46,3.84,0.4,1.63,Pd0.5 Ir0.5 O2,,,,1
523,Pd0.5Ir0.5O2,Bimetallic oxide,0.48,1.95,3.68,0.5,1.47,Pd0.5 Ir0.5 O2,,,,1
524,Pd0.5Ir0.5O2,Bimetallic oxide,0.58,1.94,3.52,0.35,1.3599999999999999,Pd0.5 Ir0.5 O2,,,,1
525,Pd0.5Ir0.5O2,Bimetallic oxide,0.57,2.23,3.73,0.43,1.6600000000000001,Pd0.5 Ir0.5 O2,,,,1
526,Pd0.5Ir0.5O2,Bimetallic oxide,0.47,1.79,3.46,0.44,1.32,Pd0.5 Ir0.5 O2,,,,1
527,Pd0.5Ir0.5O2,Bimetallic oxide,0.76,2.29,3.83,0.31,1.53,Pd0.5 Ir0.5 O2,,,,1
528,Pd0.5Ir0.5O2,Bimetallic oxide,0.53,1.76,3.44,0.45,1.23,Pd0.5 Ir0.5 O2,,,,1
531,PrCoO3,Perovskite,1.21,2.88,4.4,0.88,1.67,Pr1 Co1 O3,mp-20427,0.0,-2.38977334325,1
534,PrFeO3,Perovskite,1.38,3.07,4.66,0.46,1.69,Pr1 Fe1 O3,mp-22341,1.0793000000000004,-2.7607581062499995,1
539,PrIrO3,Perovskite,0.37,1.58,3.6,0.7,1.21,Pr1 Ir1 O3,,,,1
541,PrMnO3,Perovskite,1.04,2.26,4.36,0.87,1.2199999999999998,Pr1 Mn1 O3,mp-22564,0.0,-2.9472924928362074,1
549,PrRhO3,Perovskite,-0.08,1.37,3.12,0.85,1.4500000000000002,Pr1 Rh1 O3,mp-4789,0.6013000000000002,-2.474946942250001,1
550,PrRuO3,Perovskite,0.24,1.5,3.5,0.68,1.26,Pr1 Ru1 O3,mp-20186,0.0,-2.4845868822500004,1
560,RbIrO3,Perovskite,0.9,2.2,4.06,0.73,1.3000000000000003,Rb1 Ir1 O3,mp-975284,0.0,-1.20618138675,1
561,RbMnO3,Perovskite,1.8,3.14,4.88,0.78,1.34,Rb1 Mn1 O3,mp-975346,0.0,-1.378851534336207,1
570,RbRhO3,Perovskite,0.38,2.03,3.35,0.76,1.65,Rb1 Rh1 O3,mp-1186897,0.0,-1.1094652547499997,1
571,RbRuO3,Perovskite,0.66,2.13,3.76,0.65,1.4699999999999998,Rb1 Ru1 O3,mp-975208,0.0,-1.4391856407500008,1
578,Rh0.5Ir0.5O2,Bimetallic oxide,0.84,2.24,3.85,0.38,1.4000000000000004,Rh0.5 Ir0.5 O2,,,,1
579,Rh0.5Ir0.5O2,Bimetallic oxide,0.29,1.76,3.2,0.49,1.47,Rh0.5 Ir0.5 O2,,,,1
580,Rh0.5Ir0.5O2,Bimetallic oxide,0.23,1.66,3.2,0.49,1.43,Rh0.5 Ir0.5 O2,,,,1
581,Rh0.5Pd0.5O2,Bimetallic oxide,1.0,2.67,3.93,0.44,1.67,Rh0.5 Pd0.5 O2,,,,1
582,Rh0.5Pd0.5O2,Bimetallic oxide,1.12,2.75,4.02,0.4,1.63,Rh0.5 Pd0.5 O2,,,,1
583,Rh0.5Pd0.5O2,Bimetallic oxide,1.13,2.76,4.0,0.4,1.63,Rh0.5 Pd0.5 O2,,,,1
584,Rh0.5Pt0.5O2,Bimetallic oxide,1.13,2.81,4.05,0.45,1.6800000000000002,Rh0.5 Pt0.5 O2,,,,1
586,ScIrO3,Perovskite,0.46,1.95,3.53,0.36,1.49,Sc1 Ir1 O3,,,,1
593,SmFeO3,Perovskite,1.15,3.2,4.45,0.71,2.0500000000000003,Sm1 Fe1 O3,mp-20243,1.0882,-2.8045670057500005,1
596,SmIrO3,Perovskite,0.52,1.69,3.79,0.7,1.17,Sm1 Ir1 O3,,,,1
597,SmMnO3,Perovskite,1.08,2.67,4.37,0.8,1.5899999999999999,Sm1 Mn1 O3,mp-22203,0.0,-2.9919746138362067,1
607,SmRhO3,Perovskite,0.02,1.36,3.22,0.88,1.34,Sm1 Rh1 O3,mp-3317,0.7331000000000003,-2.52965367825,1
608,SmRuO3,Perovskite,0.36,1.57,3.69,0.7,1.21,Sm1 Ru1 O3,,,,1
627,SrCrO3,Perovskite,1.49,2.72,4.8,0.85,1.2300000000000002,Sr1 Cr1 O3,mp-752441,0.0,-2.5599203765833334,1
628,SrFeO3,Perovskite,2.09,3.71,5.21,0.79,1.62,Sr1 Fe1 O3,mp-510624,0.0,-2.2243332005833336,1
