,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
2,AgCoO3,Perovskite,1.59,3.28,4.66,0.92,1.6899999999999997,Ag1 Co1 O3,mp-753992,0.0,Ag-Co-O,2
5,AgFeO3,Perovskite,1.71,3.57,4.85,0.74,1.8599999999999999,Ag1 Fe1 O3,mp-1184234,0.0,Ag-Fe-O,2
8,AgIrO3,Perovskite,0.93,2.51,4.02,0.71,1.5799999999999996,Ag1 Ir1 O3,,,,2
9,AgMnO3,Perovskite,1.57,3.14,4.78,0.77,1.57,Ag1 Mn1 O3,mp-754229,0.0,Ag-Mn-O,2
20,AgRhO3,Perovskite,0.32,2.2,3.34,0.8,1.8800000000000001,Ag1 Rh1 O3,,,,2
21,AgRuO3,Perovskite,0.65,2.35,3.84,0.65,1.7000000000000002,Ag1 Ru1 O3,mp-776168,0.0,Ag-O-Ru,2
42,BaCrO3,Perovskite,1.47,2.56,4.79,1.01,1.09,Ba1 Cr1 O3,mp-19271,0.0,Ba-Cr-O,2
51,BaIrO3,Perovskite,1.85,3.22,5.18,0.73,1.37,Ba1 Ir1 O3,mp-4307,0.0,Ba-Ir-O,2
52,BaIrO3,Perovskite,0.84,2.12,3.89,0.54,1.2800000000000002,Ba1 Ir1 O3,mp-4307,0.0,Ba-Ir-O,2
53,BaMnO3,Perovskite,1.89,3.25,5.07,0.74,1.36,Ba1 Mn1 O3,mp-757501,0.0,Ba-Mn-O,2
63,BaPtO3,Perovskite,1.12,2.94,3.99,0.6,1.8199999999999998,Ba1 Pt1 O3,mp-1214788,0.4158999999999997,Ba-O-Pt,2
65,BaRhO3,Perovskite,0.66,2.19,3.52,0.3,1.5299999999999998,Ba1 Rh1 O3,mp-7685,0.0,Ba-O-Rh,2
66,BaRuO3,Perovskite,0.5,1.96,3.46,0.27,1.46,Ba1 Ru1 O3,mp-3597,0.0,Ba-O-Ru,2
81,BaVO3,Perovskite,1.07,2.31,4.53,0.99,1.24,Ba1 V1 O3,mp-1017465,0.0,Ba-O-V,2
88,BeIrO3,Perovskite,1.65,3.08,4.95,0.64,1.4300000000000002,Be1 Ir1 O3,,,,2
92,CaCoO3,Perovskite,2.07,3.54,5.02,1.05,1.4700000000000002,Ca1 Co1 O3,mp-1399298,0.0,Ca-Co-O,2
93,CaCrO3,Perovskite,1.15,2.51,4.46,1.09,1.3599999999999999,Ca1 Cr1 O3,mp-20772,0.40690000000000026,Ca-Cr-O,2
99,CaIrO3,Perovskite,1.0,2.47,4.21,0.72,1.4700000000000002,Ca1 Ir1 O3,mp-4243,0.0,Ca-Ir-O,2
100,CaMnO3,Perovskite,1.81,3.38,5.05,0.58,1.5699999999999998,Ca1 Mn1 O3,mp-1017467,0.0,Ca-Mn-O,2
110,CaRhO3,Perovskite,0.47,2.23,3.45,0.8,1.76,Ca1 Rh1 O3,mp-1193602,0.0,Ca-O-Rh,2
111,CaRuO3,Perovskite,0.81,2.44,4.05,0.7,1.63,Ca1 Ru1 O3,mp-20947,0.0,Ca-O-Ru,2
121,CaVO3,Perovskite,0.93,2.16,4.36,0.97,1.23,Ca1 V1 O3,mp-22608,0.43389999999999995,Ca-O-V,2
125,CdCoO3,Perovskite,1.87,3.14,4.9,0.96,1.27,Cd1 Co1 O3,mp-752746,0.0,Cd-Co-O,2
127,CdFeO3,Perovskite,1.92,3.45,5.04,0.77,1.5300000000000002,Cd1 Fe1 O3,mp-1639105,0.0,Cd-Fe-O,2
130,CdIrO3,Perovskite,0.74,2.08,3.88,0.73,1.34,Cd1 Ir1 O3,mp-2647004,0.0,Cd-Ir-O,2
131,CdMnO3,Perovskite,1.76,3.05,4.95,0.79,1.2899999999999998,Cd1 Mn1 O3,mp-1016854,0.0,Cd-Mn-O,2
141,CdRhO3,Perovskite,0.25,1.81,3.25,0.85,1.56,Cd1 Rh1 O3,mp-1016875,0.0,Cd-O-Rh,2
142,CdRuO3,Perovskite,0.49,1.92,3.67,0.67,1.43,Cd1 Ru1 O3,mp-1016849,0.0,Cd-O-Ru,2
154,CeCoO3,Perovskite,1.31,2.93,4.37,0.92,1.62,Ce1 Co1 O3,,,,2
157,CeFeO3,Perovskite,1.49,3.15,4.64,0.71,1.66,Ce1 Fe1 O3,mp-864636,0.0,Ce-Fe-O,2
160,CeIrO3,Perovskite,0.35,1.68,3.64,0.73,1.33,Ce1 Ir1 O3,,,,2
162,CeMnO3,Perovskite,1.35,2.66,4.59,0.81,1.31,Ce1 Mn1 O3,mp-1183706,0.0,Ce-Mn-O,2
170,CeRhO3,Perovskite,-0.02,1.51,3.17,0.91,1.53,Ce1 Rh1 O3,mp-1213826,0.0,Ce-O-Rh,2
171,CeRuO3,Perovskite,0.29,1.65,3.57,0.73,1.3599999999999999,Ce1 Ru1 O3,,,,2
179,Co0.5Ir0.5O2,Bimetallic oxide,0.65,2.0,3.62,0.39,1.35,Co0.5 Ir0.5 O2,,,,2
180,Co0.5Ir0.5O2,Bimetallic oxide,0.65,2.33,3.94,0.45,1.6800000000000002,Co0.5 Ir0.5 O2,,,,2
181,Co0.5Ir0.5O2,Bimetallic oxide,0.61,1.96,3.62,0.43,1.35,Co0.5 Ir0.5 O2,,,,2
185,DyCoO3,Perovskite,1.31,3.12,4.43,0.87,1.81,Dy1 Co1 O3,mp-22137,1.1923999999999997,Co-Dy-O,2
