,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V","Reaction (HER, HRR, OER, ORR)",ΔGO*-ΔGOH*,ΔGOOH*-ΔGO*,composition,material id,band gap,chemsys,cluster
470,NdMnO3,Perovskite,1.19,2.75,4.44,0.81,OER,1.56,1.6900000000000004,Nd1 Mn1 O3,mp-1182197,0.0,Mn-Nd-O,3
480,NdRhO3,Perovskite,0.01,1.39,3.2,0.88,OER,1.38,1.8100000000000003,Nd1 Rh1 O3,mp-4582,0.6487000000000007,Nd-O-Rh,3
481,NdRuO3,Perovskite,0.34,1.59,3.63,0.7,OER,1.25,2.04,Nd1 Ru1 O3,,,,3
493,PbCoO3,Perovskite,1.51,3.04,4.59,0.99,OER,1.53,1.5499999999999998,Pb1 Co1 O3,mp-755569,0.0,Co-O-Pb,3
496,PbFeO3,Perovskite,1.54,3.26,4.71,0.82,OER,1.7199999999999998,1.4500000000000002,Pb1 Fe1 O3,mp-973579,0.0,Fe-O-Pb,3
498,PbIrO3,Perovskite,0.5,1.69,3.75,0.82,OER,1.19,2.06,Pb1 Ir1 O3,,,,3
500,PbMnO3,Perovskite,1.45,2.84,4.65,0.87,OER,1.39,1.8100000000000005,Pb1 Mn1 O3,mp-1106337,0.0,Mn-O-Pb,3
510,PbRhO3,Perovskite,-0.06,1.45,3.14,0.96,OER,1.51,1.6900000000000002,Pb1 Rh1 O3,,,,3
511,PbRuO3,Perovskite,0.27,1.58,3.55,0.78,OER,1.31,1.9699999999999998,Pb1 Ru1 O3,mp-974337,0.0,O-Pb-Ru,3
522,Pd0.5Ir0.5O2,Bimetallic oxide,0.83,2.46,3.84,0.4,OER,1.63,1.38,Pd0.5 Ir0.5 O2,,,,3
523,Pd0.5Ir0.5O2,Bimetallic oxide,0.48,1.95,3.68,0.5,OER,1.47,1.7300000000000002,Pd0.5 Ir0.5 O2,,,,3
524,Pd0.5Ir0.5O2,Bimetallic oxide,0.58,1.94,3.52,0.35,OER,1.3599999999999999,1.58,Pd0.5 Ir0.5 O2,,,,3
525,Pd0.5Ir0.5O2,Bimetallic oxide,0.57,2.23,3.73,0.43,OER,1.6600000000000001,1.5,Pd0.5 Ir0.5 O2,,,,3
526,Pd0.5Ir0.5O2,Bimetallic oxide,0.47,1.79,3.46,0.44,OER,1.32,1.67,Pd0.5 Ir0.5 O2,,,,3
527,Pd0.5Ir0.5O2,Bimetallic oxide,0.76,2.29,3.83,0.31,OER,1.53,1.54,Pd0.5 Ir0.5 O2,,,,3
528,Pd0.5Ir0.5O2,Bimetallic oxide,0.53,1.76,3.44,0.45,OER,1.23,1.68,Pd0.5 Ir0.5 O2,,,,3
531,PrCoO3,Perovskite,1.21,2.88,4.4,0.88,OER,1.67,1.5200000000000005,Pr1 Co1 O3,mp-20427,0.0,Co-O-Pr,3
534,PrFeO3,Perovskite,1.38,3.07,4.66,0.46,OER,1.69,1.5900000000000003,Pr1 Fe1 O3,mp-22341,1.0793000000000004,Fe-O-Pr,3
539,PrIrO3,Perovskite,0.37,1.58,3.6,0.7,OER,1.21,2.02,Pr1 Ir1 O3,,,,3
541,PrMnO3,Perovskite,1.04,2.26,4.36,0.87,OER,1.2199999999999998,2.1000000000000005,Pr1 Mn1 O3,mp-22564,0.0,Mn-O-Pr,3
549,PrRhO3,Perovskite,-0.08,1.37,3.12,0.85,OER,1.4500000000000002,1.75,Pr1 Rh1 O3,mp-4789,0.6013000000000002,O-Pr-Rh,3
