,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V","Reaction (HER, HRR, OER, ORR)",ΔGO*-ΔGOH*,ΔGOOH*-ΔGO*,composition,material id,band gap,chemsys,cluster
245,EuFeO3,Perovskite,1.54,3.24,4.8,0.73,OER,1.7000000000000002,1.5599999999999996,Eu1 Fe1 O3,mp-504703,0.0,Eu-Fe-O,3
248,EuIrO3,Perovskite,0.53,1.68,3.76,0.69,OER,1.15,2.08,Eu1 Ir1 O3,mp-1184445,0.0,Eu-Ir-O,3
249,EuMnO3,Perovskite,1.49,2.74,4.72,0.8,OER,1.2500000000000002,1.9799999999999995,Eu1 Mn1 O3,mp-1099619,0.0,Eu-Mn-O,3
259,EuRhO3,Perovskite,0.01,1.43,3.17,0.83,OER,1.42,1.74,Eu1 Rh1 O3,mp-19801,0.0,Eu-O-Rh,3
260,EuRuO3,Perovskite,0.29,1.57,3.57,0.66,OER,1.28,1.9999999999999998,Eu1 Ru1 O3,mp-866036,0.0,Eu-O-Ru,3
272,Fe0.5Ir0.5O2,Bimetallic oxide,0.42,1.86,3.52,0.43,OER,1.4400000000000002,1.66,Fe0.5 Ir0.5 O2,,,,3
275,GdCoO3,Perovskite,1.22,2.98,4.33,0.83,OER,1.76,1.35,Gd1 Co1 O3,mp-20951,0.0,Co-Gd-O,3
278,GdFeO3,Perovskite,1.19,3.1,4.43,0.65,OER,1.9100000000000001,1.3299999999999996,Gd1 Fe1 O3,mp-600576,0.0,Fe-Gd-O,3
281,GdIrO3,Perovskite,0.49,1.71,3.72,0.65,OER,1.22,2.0100000000000002,Gd1 Ir1 O3,,,,3
282,GdMnO3,Perovskite,1.11,2.57,4.38,0.74,OER,1.4599999999999997,1.81,Gd1 Mn1 O3,mp-510575,0.4040999999999997,Gd-Mn-O,3
289,GdRhO3,Perovskite,0.07,1.44,3.26,0.75,OER,1.3699999999999999,1.8199999999999998,Gd1 Rh1 O3,mp-1184503,0.0,Gd-O-Rh,3
290,GdRuO3,Perovskite,0.37,1.62,3.65,0.63,OER,1.25,2.03,Gd1 Ru1 O3,,,,3
