,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V","Reaction (HER, HRR, OER, ORR)",ΔGO*-ΔGOH*,ΔGOOH*-ΔGO*,composition,material id,band gap,chemsys,cluster
3,AgCrO3,Perovskite,0.83,2.36,4.26,1.31,OER,1.5299999999999998,1.9,Ag1 Cr1 O3,,,,4
12,AgNbO3,Perovskite,-0.59,0.39,2.93,1.31,OER,0.98,2.54,Ag1 Nb1 O3,mp-12725,1.3336000000000001,Ag-Nb-O,4
15,AgOsO3,Perovskite,0.35,1.39,3.58,1.26,OER,1.04,2.1900000000000004,Ag1 Os1 O3,,,,4
25,AgTaO3,Perovskite,0.04,1.47,3.35,1.98,OER,1.43,1.8800000000000001,Ag1 Ta1 O3,mp-1187189,1.7306000000000004,Ag-O-Ta,4
34,AlRhO3,Perovskite,-1.03,0.37,2.11,1.58,OER,1.4,1.7399999999999998,Al1 Rh1 O3,mp-1178547,1.7659000000000002,Al-O-Rh,4
41,BaCoO3,Perovskite,2.45,3.17,5.55,1.22,OER,0.7199999999999998,2.38,Ba1 Co1 O3,mp-1076782,0.0,Ba-Co-O,4
55,BaNbO3,Perovskite,-0.56,0.23,3.08,1.63,OER,0.79,2.85,Ba1 Nb1 O3,mp-3020,0.0,Ba-Nb-O,4
59,BaOsO3,Perovskite,0.26,1.36,3.72,1.12,OER,1.1,2.3600000000000003,Ba1 Os1 O3,mp-781625,0.0,Ba-O-Os,4
71,BaTaO3,Perovskite,-0.35,1.26,3.29,1.63,OER,1.6099999999999999,2.0300000000000002,Ba1 Ta1 O3,mp-754678,0.0,Ba-O-Ta,4
73,BaTcO3,Perovskite,0.66,1.96,3.86,1.19,OER,1.2999999999999998,1.9,Ba1 Tc1 O3,mp-555174,0.0,Ba-O-Tc,4
102,CaNbO3,Perovskite,-0.19,0.96,3.34,1.53,OER,1.15,2.38,Ca1 Nb1 O3,mp-4957,0.0,Ca-Nb-O,4
105,CaOsO3,Perovskite,0.41,1.31,3.73,1.15,OER,0.9000000000000001,2.42,Ca1 Os1 O3,mp-1213970,0.0,Ca-O-Os,4
115,CaTaO3,Perovskite,-0.13,1.47,3.37,1.64,OER,1.6,1.9000000000000001,Ca1 Ta1 O3,,,,4
116,CaTcO3,Perovskite,0.68,2.03,3.89,1.24,OER,1.3499999999999996,1.8600000000000003,Ca1 Tc1 O3,mp-998543,0.0,Ca-O-Tc,4
