,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V","Reaction (HER, HRR, OER, ORR)",ΔGO*-ΔGOH*,ΔGOOH*-ΔGO*,composition,material id,band gap,chemsys,cluster
126,CdCrO3,Perovskite,0.93,2.01,4.34,1.28,OER,1.0799999999999996,2.33,Cd1 Cr1 O3,,,,4
133,CdNbO3,Perovskite,-0.2,0.92,3.21,1.65,OER,1.12,2.29,Cd1 Nb1 O3,,,,4
136,CdOsO3,Perovskite,0.06,0.83,3.31,1.26,OER,0.77,2.48,Cd1 Os1 O3,mp-1016882,0.0,Cd-O-Os,4
144,CdTaO3,Perovskite,-0.56,0.69,2.92,1.81,OER,1.25,2.23,Cd1 Ta1 O3,,,,4
145,CdTcO3,Perovskite,0.43,1.76,3.59,1.34,OER,1.33,1.8299999999999998,Cd1 Tc1 O3,mp-1189706,0.0,Cd-O-Tc,4
149,CdVO3,Perovskite,0.68,1.82,4.17,1.32,OER,1.1400000000000001,2.3499999999999996,Cd1 V1 O3,mp-556857,0.0,Cd-O-V,4
155,CeCrO3,Perovskite,0.68,1.47,4.03,1.36,OER,0.7899999999999999,2.5600000000000005,Ce1 Cr1 O3,mp-780712,0.0,Ce-Cr-O,4
164,CeNbO3,Perovskite,-0.66,0.21,2.98,1.6,OER,0.87,2.77,Ce1 Nb1 O3,,,,4
166,CeNpO3,Perovskite,0.96,2.48,4.1,1.73,OER,1.52,1.6199999999999997,Ce1 Np1 O3,,,,4
169,CePuO3,Perovskite,0.85,2.3,4.16,1.64,OER,1.4499999999999997,1.8600000000000003,Ce1 Pu1 O3,mp-1183759,0.0,Ce-O-Pu,4
174,CeTaO3,Perovskite,-0.73,0.49,2.97,1.86,OER,1.22,2.4800000000000004,Ce1 Ta1 O3,mp-1183701,0.0,Ce-O-Ta,4
176,CeUO3,Perovskite,0.68,2.13,3.97,1.57,OER,1.4499999999999997,1.8400000000000003,Ce1 U1 O3,,,,4
177,CeVO3,Perovskite,0.35,1.16,3.82,1.43,OER,0.8099999999999999,2.66,Ce1 V1 O3,mp-22593,0.0,Ce-O-V,4
186,DyCrO3,Perovskite,0.63,1.4,3.97,1.43,OER,0.7699999999999999,2.5700000000000003,Dy1 Cr1 O3,mp-19381,2.2185000000000006,Cr-Dy-O,4
195,DyNbO3,Perovskite,-0.34,0.39,3.19,1.71,OER,0.73,2.8,Dy1 Nb1 O3,,,,4
198,DyOsO3,Perovskite,0.09,0.82,3.46,1.31,OER,0.73,2.64,Dy1 Os1 O3,,,,4
201,DyPuO3,Perovskite,0.69,2.32,4.0,1.74,OER,1.63,1.6800000000000002,Dy1 Pu1 O3,,,,4
202,DyReO3,Perovskite,-0.03,1.23,3.31,1.43,OER,1.26,2.08,Dy1 Re1 O3,,,,4
208,DyTaO3,Perovskite,-0.4,0.62,3.21,1.96,OER,1.02,2.59,Dy1 Ta1 O3,,,,4
209,DyTcO3,Perovskite,0.29,1.28,3.52,1.4,OER,0.99,2.24,Dy1 Tc1 O3,,,,4
212,DyUO3,Perovskite,0.54,2.14,3.83,1.68,OER,1.6,1.69,Dy1 U1 O3,,,,4
213,DyVO3,Perovskite,0.32,1.04,3.76,1.55,OER,0.72,2.7199999999999998,Dy1 V1 O3,mp-22789,1.3773,Dy-O-V,4
219,ErCrO3,Perovskite,0.57,1.32,3.95,1.44,OER,0.7500000000000001,2.63,Er1 Cr1 O3,mp-19063,0.25710000000000033,Cr-Er-O,4
227,ErNbO3,Perovskite,-0.34,0.3,3.18,1.86,OER,0.64,2.8800000000000003,Er1 Nb1 O3,,,,4
231,ErPuO3,Perovskite,0.61,2.15,3.95,1.83,OER,1.54,1.8000000000000003,Er1 Pu1 O3,,,,4
236,ErTaO3,Perovskite,-0.45,0.43,3.15,2.09,OER,0.88,2.7199999999999998,Er1 Ta1 O3,mp-1184204,0.0,Er-O-Ta,4
238,ErUO3,Perovskite,0.45,1.96,3.77,1.78,OER,1.51,1.81,Er1 U1 O3,,,,4
239,ErVO3,Perovskite,0.27,0.99,3.74,1.55,OER,0.72,2.75,Er1 V1 O3,mp-19205,1.5838,Er-O-V,4
243,EuCrO3,Perovskite,0.71,1.48,4.09,1.38,OER,0.77,2.61,Eu1 Cr1 O3,mp-754941,0.0,Cr-Eu-O,4
251,EuNbO3,Perovskite,-0.82,-0.04,2.79,1.6,OER,0.7799999999999999,2.83,Eu1 Nb1 O3,mp-1078341,0.0,Eu-Nb-O,4
253,EuNpO3,Perovskite,1.04,2.62,4.25,1.63,OER,1.58,1.63,Eu1 Np1 O3,mp-1213363,0.0,Eu-Np-O,4
254,EuOsO3,Perovskite,-0.09,0.68,3.27,1.29,OER,0.77,2.59,Eu1 Os1 O3,mp-977370,0.0,Eu-O-Os,4
257,EuPuO3,Perovskite,0.93,2.37,4.28,1.58,OER,1.44,1.9100000000000001,Eu1 Pu1 O3,,,,4
258,EuReO3,Perovskite,-0.19,1.29,3.11,1.4,OER,1.48,1.8199999999999998,Eu1 Re1 O3,mp-976320,0.0,Eu-O-Re,4
264,EuTaO3,Perovskite,-0.75,0.37,2.91,1.79,OER,1.12,2.54,Eu1 Ta1 O3,,,,4
265,EuTcO3,Perovskite,0.19,1.19,3.41,1.36,OER,1.0,2.22,Eu1 Tc1 O3,mp-1184447,0.0,Eu-O-Tc,4
268,EuUO3,Perovskite,0.81,2.22,4.16,1.53,OER,1.4100000000000001,1.94,Eu1 U1 O3,mp-1213318,0.0,Eu-O-U,4
269,EuVO3,Perovskite,0.37,1.15,3.91,1.47,OER,0.7799999999999999,2.7600000000000002,Eu1 V1 O3,mp-1178351,0.0,Eu-O-V,4
276,GdCrO3,Perovskite,0.58,1.34,3.93,1.43,OER,0.7600000000000001,2.59,Gd1 Cr1 O3,mp-1147577,0.8250000000000002,Cr-Gd-O,4
284,GdNbO3,Perovskite,-0.35,0.42,3.19,1.79,OER,0.77,2.77,Gd1 Nb1 O3,,,,4
286,GdNpO3,Perovskite,0.67,2.34,3.93,1.88,OER,1.67,1.5900000000000003,Gd1 Np1 O3,,,,4
288,GdPuO3,Perovskite,0.6,2.13,3.98,1.8,OER,1.5299999999999998,1.85,Gd1 Pu1 O3,,,,4
293,GdTaO3,Perovskite,-0.4,0.63,3.2,2.05,OER,1.03,2.5700000000000003,Gd1 Ta1 O3,,,,4
295,GdUO3,Perovskite,0.41,1.93,3.78,1.75,OER,1.52,1.8499999999999999,Gd1 U1 O3,,,,4
296,GdVO3,Perovskite,0.29,1.01,3.74,1.55,OER,0.72,2.7300000000000004,Gd1 V1 O3,mp-541177,0.0,Gd-O-V,4
298,HfCrO3,Perovskite,0.53,1.5,3.92,1.43,OER,0.97,2.42,Hf1 Cr1 O3,mp-756322,1.5871000000000004,Cr-Hf-O,4
305,HfNpO3,Perovskite,0.73,2.39,3.89,1.95,OER,1.6600000000000001,1.5,Hf1 Np1 O3,mp-1184669,0.0,Hf-Np-O,4
309,HfVO3,Perovskite,0.29,1.22,3.72,1.54,OER,0.9299999999999999,2.5,Hf1 V1 O3,,,,4
314,HoCrO3,Perovskite,0.56,1.25,3.94,1.45,OER,0.69,2.69,Ho1 Cr1 O3,mp-756834,2.2161999999999997,Cr-Ho-O,4
322,HoNbO3,Perovskite,-0.6,-0.01,2.96,1.86,OER,0.59,2.9699999999999998,Ho1 Nb1 O3,,,,4
324,HoNpO3,Perovskite,0.75,2.39,3.92,1.89,OER,1.6400000000000001,1.5299999999999998,Ho1 Np1 O3,,,,4
326,HoPuO3,Perovskite,0.68,2.16,3.99,1.81,OER,1.48,1.83,Ho1 Pu1 O3,,,,4
331,HoTaO3,Perovskite,-0.8,0.06,2.85,2.08,OER,0.8600000000000001,2.79,Ho1 Ta1 O3,,,,4
333,HoUO3,Perovskite,0.51,1.97,3.77,1.77,OER,1.46,1.8,Ho1 U1 O3,,,,4
334,HoVO3,Perovskite,0.24,0.9,3.72,1.56,OER,0.66,2.8200000000000003,Ho1 V1 O3,mp-19024,1.1970999999999998,Ho-O-V,4
343,KCrO3,Perovskite,1.21,2.47,4.48,1.15,OER,1.2600000000000002,2.0100000000000002,K1 Cr1 O3,mp-1076732,0.0,Cr-K-O,4
348,KNbO3,Perovskite,-0.65,0.5,2.88,1.15,OER,1.15,2.38,K1 Nb1 O3,mp-4342,1.4759999999999998,K-Nb-O,4
350,KOsO3,Perovskite,-0.15,0.49,3.02,1.3,OER,0.64,2.5300000000000002,K1 Os1 O3,mp-1185009,0.0,K-O-Os,4
361,KTaO3,Perovskite,-1.15,0.05,2.38,1.31,OER,1.2,2.33,K1 Ta1 O3,mp-3614,2.0995,K-O-Ta,4
362,KTcO3,Perovskite,0.65,2.0,3.83,1.23,OER,1.35,1.83,K1 Tc1 O3,mp-973267,0.0,K-O-Tc,4
365,KVO3,Perovskite,0.92,2.23,4.32,1.16,OER,1.31,2.0900000000000003,K1 V1 O3,mp-18815,3.0460000000000003,K-O-V,4
368,LaAlO3,Perovskite,2.93,4.27,5.81,1.7,OER,1.3399999999999994,1.54,La1 Al1 O3,mp-780422,4.403700000000001,Al-La-O,4
372,LaCrO3,Perovskite,0.66,1.38,4.04,1.43,OER,0.7199999999999999,2.66,La1 Cr1 O3,mp-19281,1.913800000000001,Cr-La-O,4
375,LaGaO3,Perovskite,2.89,4.25,5.84,1.66,OER,1.3599999999999999,1.5899999999999999,La1 Ga1 O3,mp-1097026,3.365900000000001,Ga-La-O,4
383,LaNbO3,Perovskite,-0.69,0.22,2.92,1.62,OER,0.9099999999999999,2.6999999999999997,La1 Nb1 O3,,,,4
386,LaNpO3,Perovskite,0.96,2.43,4.12,1.79,OER,1.4700000000000002,1.69,La1 Np1 O3,,,,4
389,LaPuO3,Perovskite,0.86,2.27,4.22,1.68,OER,1.4100000000000001,1.9499999999999997,La1 Pu1 O3,,,,4
395,LaTaO3,Perovskite,-0.86,0.46,2.83,1.97,OER,1.32,2.37,La1 Ta1 O3,mp-1239192,0.0,La-O-Ta,4
398,LaUO3,Perovskite,0.65,2.08,3.95,1.59,OER,1.4300000000000002,1.87,La1 U1 O3,,,,4
399,LaVO3,Perovskite,0.37,1.08,3.83,1.52,OER,0.7100000000000001,2.75,La1 V1 O3,mp-19053,0.0,La-O-V,4
409,LuCrO3,Perovskite,0.56,1.38,3.92,1.44,OER,0.8199999999999998,2.54,Lu1 Cr1 O3,mp-755471,2.2649000000000004,Cr-Lu-O,4
417,LuNbO3,Perovskite,-0.56,0.27,3.05,1.88,OER,0.8300000000000001,2.78,Lu1 Nb1 O3,,,,4
419,LuNpO3,Perovskite,0.76,2.37,3.91,1.94,OER,1.61,1.54,Lu1 Np1 O3,mp-1185498,0.04929999999999968,Lu-Np-O,4
421,LuPuO3,Perovskite,0.68,2.18,3.97,1.87,OER,1.5,1.79,Lu1 Pu1 O3,,,,4
426,LuTaO3,Perovskite,-0.73,0.34,2.98,2.11,OER,1.07,2.64,Lu1 Ta1 O3,,,,4
428,LuUO3,Perovskite,0.52,1.99,3.77,1.81,OER,1.47,1.78,Lu1 U1 O3,mp-973536,0.0,Lu-O-U,4
429,LuVO3,Perovskite,0.27,1.04,3.71,1.55,OER,0.77,2.67,Lu1 V1 O3,mp-755583,1.5724999999999998,Lu-O-V,4
438,NaCrO3,Perovskite,1.07,2.05,4.38,1.24,OER,0.9799999999999998,2.33,Na1 Cr1 O3,mp-1076642,0.0,Cr-Na-O,4
445,NaOsO3,Perovskite,-0.38,0.17,2.79,1.38,OER,0.55,2.62,Na1 Os1 O3,mp-998624,0.0,Na-O-Os,4
447,NaPuO3,Perovskite,1.21,2.8,4.35,1.48,OER,1.5899999999999999,1.5499999999999998,Na1 Pu1 O3,mp-976952,0.0,Na-O-Pu,4
453,NaTaO3,Perovskite,-1.24,-0.04,2.26,1.43,OER,1.2,2.3,Na1 Ta1 O3,mp-754818,2.7138999999999998,Na-O-Ta,4
454,NaTcO3,Perovskite,0.46,1.59,3.55,1.29,OER,1.1300000000000001,1.9599999999999997,Na1 Tc1 O3,mp-977176,0.0,Na-O-Tc,4
456,NaUO3,Perovskite,1.2,2.72,4.3,1.41,OER,1.5200000000000002,1.5799999999999996,Na1 U1 O3,mp-5788,0.37019999999999964,Na-O-U,4
457,NaVO3,Perovskite,0.77,1.81,4.22,1.25,OER,1.04,2.4099999999999997,Na1 V1 O3,mp-555665,3.0358,Na-O-V,4
463,NdCrO3,Perovskite,0.55,1.22,3.93,1.48,OER,0.6699999999999999,2.71,Nd1 Cr1 O3,mp-19062,1.904,Cr-Nd-O,4
472,NdNbO3,Perovskite,-0.5,0.27,3.06,1.61,OER,0.77,2.79,Nd1 Nb1 O3,,,,4
474,NdNpO3,Perovskite,0.84,2.47,4.03,1.72,OER,1.6300000000000003,1.56,Nd1 Np1 O3,mp-1186312,0.0,Nd-Np-O,4
475,NdOsO3,Perovskite,0.03,0.77,3.4,1.34,OER,0.74,2.63,Nd1 Os1 O3,,,,4
478,NdPuO3,Perovskite,0.72,2.25,4.08,1.64,OER,1.53,1.83,Nd1 Pu1 O3,,,,4
479,NdReO3,Perovskite,-0.1,1.15,3.25,1.46,OER,1.25,2.1,Nd1 Re1 O3,mp-1186326,0.0,Nd-O-Re,4
485,NdTaO3,Perovskite,-0.52,0.57,3.11,1.93,OER,1.0899999999999999,2.54,Nd1 Ta1 O3,mp-1186324,0.0,Nd-O-Ta,4
486,NdTcO3,Perovskite,0.2,1.17,3.46,1.41,OER,0.97,2.29,Nd1 Tc1 O3,,,,4
488,NdTiO3,Perovskite,-0.28,0.94,3.28,1.1,OER,1.22,2.34,Nd1 Ti1 O3,mp-3119,0.0,Nd-O-Ti,4
489,NdUO3,Perovskite,0.54,2.07,3.86,1.57,OER,1.5299999999999998,1.79,Nd1 U1 O3,,,,4
490,NdVO3,Perovskite,0.2,0.71,3.65,1.71,OER,0.51,2.94,Nd1 V1 O3,mp-19253,0.0,Nd-O-V,4
494,PbCrO3,Perovskite,0.68,1.66,4.15,1.29,OER,0.9799999999999999,2.49,Pb1 Cr1 O3,mp-22364,0.0,Cr-O-Pb,4
502,PbNbO3,Perovskite,-0.49,0.43,3.04,1.5,OER,0.9199999999999999,2.61,Pb1 Nb1 O3,,,,4
504,PbNpO3,Perovskite,1.08,2.68,4.2,1.58,OER,1.6,1.52,Pb1 Np1 O3,,,,4
505,PbOsO3,Perovskite,-0.04,0.68,3.26,1.25,OER,0.7200000000000001,2.5799999999999996,Pb1 Os1 O3,mp-680932,0.0,O-Os-Pb,4
508,PbPuO3,Perovskite,1.0,2.52,4.22,1.52,OER,1.52,1.6999999999999997,Pb1 Pu1 O3,mp-1186799,0.0,O-Pb-Pu,4
513,PbTaO3,Perovskite,-0.72,0.31,2.87,1.68,OER,1.03,2.56,Pb1 Ta1 O3,,,,4
514,PbTcO3,Perovskite,0.2,1.39,3.42,1.35,OER,1.19,2.0300000000000002,Pb1 Tc1 O3,mp-687205,0.0,O-Pb-Tc,4
517,PbUO3,Perovskite,0.87,2.4,4.09,1.43,OER,1.5299999999999998,1.69,Pb1 U1 O3,,,,4
518,PbVO3,Perovskite,0.41,1.38,3.99,1.35,OER,0.97,2.6100000000000003,Pb1 V1 O3,mp-1070440,0.0,O-Pb-V,4
532,PrCrO3,Perovskite,0.57,1.23,3.94,1.48,OER,0.66,2.71,Pr1 Cr1 O3,mp-19353,1.8470000000000004,Cr-O-Pr,4
543,PrNbO3,Perovskite,-0.62,0.25,2.99,1.62,OER,0.87,2.74,Pr1 Nb1 O3,mp-975913,0.0,Nb-O-Pr,4
545,PrNpO3,Perovskite,0.92,2.49,4.17,1.75,OER,1.5700000000000003,1.6799999999999997,Pr1 Np1 O3,,,,4
548,PrPuO3,Perovskite,0.83,2.27,4.22,1.66,OER,1.44,1.9499999999999997,Pr1 Pu1 O3,,,,4
553,PrTaO3,Perovskite,-0.78,0.43,2.9,1.94,OER,1.21,2.4699999999999998,Pr1 Ta1 O3,,,,4
555,PrUO3,Perovskite,0.65,2.06,4.0,1.6,OER,1.4100000000000001,1.94,Pr1 U1 O3,,,,4
556,PrVO3,Perovskite,0.22,0.82,3.68,1.63,OER,0.6,2.8600000000000003,Pr1 V1 O3,mp-1069346,0.0,O-Pr-V,4
559,RbCrO3,Perovskite,1.18,2.26,4.47,1.09,OER,1.0799999999999998,2.21,Rb1 Cr1 O3,mp-1076360,0.0,Cr-O-Rb,4
563,RbNbO3,Perovskite,-0.58,0.51,3.0,1.32,OER,1.0899999999999999,2.49,Rb1 Nb1 O3,mp-756063,2.8197,Nb-O-Rb,4
565,RbOsO3,Perovskite,0.06,0.86,3.39,1.17,OER,0.8,2.5300000000000002,Rb1 Os1 O3,mp-998602,0.0,O-Os-Rb,4
566,RbPaO3,Perovskite,-1.17,0.06,2.52,1.23,OER,1.23,2.46,Rb1 Pa1 O3,mp-1206844,3.0009999999999994,O-Pa-Rb,4
574,RbTcO3,Perovskite,0.52,1.76,3.66,1.23,OER,1.24,1.9000000000000001,Rb1 Tc1 O3,,,,4
575,RbUO3,Perovskite,1.01,2.6,4.13,1.38,OER,1.59,1.5299999999999998,Rb1 U1 O3,mp-11775,0.45420000000000016,O-Rb-U,4
576,RbVO3,Perovskite,0.84,2.02,4.26,1.12,OER,1.1800000000000002,2.2399999999999998,Rb1 V1 O3,mp-1076638,0.24980000000000002,O-Rb-V,4
591,SmCrO3,Perovskite,0.52,1.2,3.89,1.46,OER,0.6799999999999999,2.6900000000000004,Sm1 Cr1 O3,mp-1105788,2.4802000000000004,Cr-O-Sm,4
599,SmNbO3,Perovskite,-0.43,0.29,3.16,1.57,OER,0.72,2.87,Sm1 Nb1 O3,,,,4
602,SmOsO3,Perovskite,0.07,0.8,3.49,1.33,OER,0.73,2.6900000000000004,Sm1 Os1 O3,,,,4
605,SmPuO3,Perovskite,0.52,2.07,3.93,1.59,OER,1.5499999999999998,1.8600000000000003,Sm1 Pu1 O3,mp-981250,0.0,O-Pu-Sm,4
606,SmReO3,Perovskite,-0.05,1.11,3.32,1.45,OER,1.1600000000000001,2.21,Sm1 Re1 O3,,,,4
612,SmTaO3,Perovskite,-0.39,0.63,3.21,1.88,OER,1.02,2.58,Sm1 Ta1 O3,,,,4
613,SmTcO3,Perovskite,0.23,1.21,3.52,1.4,OER,0.98,2.31,Sm1 Tc1 O3,,,,4
615,SmTiO3,Perovskite,-0.35,0.83,3.19,1.13,OER,1.18,2.36,Sm1 Ti1 O3,mp-1099583,0.0,O-Sm-Ti,4
616,SmUO3,Perovskite,0.3,1.87,3.76,1.54,OER,1.57,1.8899999999999997,Sm1 U1 O3,,,,4
617,SmVO3,Perovskite,0.16,0.76,3.61,1.62,OER,0.6,2.8499999999999996,Sm1 V1 O3,mp-1188225,1.5136000000000003,O-Sm-V,4
620,SnTaO3,Perovskite,-0.68,0.3,2.99,1.46,OER,0.98,2.6900000000000004,Sn1 Ta1 O3,mp-8074,0.0,O-Sn-Ta,4
626,SrCoO3,Perovskite,2.58,3.44,5.68,1.35,OER,0.8599999999999999,2.2399999999999998,Sr1 Co1 O3,mp-1272815,0.0,Co-O-Sr,4
638,SrMoO3,Perovskite,-0.11,0.55,3.4,1.62,OER,0.66,2.8499999999999996,Sr1 Mo1 O3,mp-18747,0.0,Mo-O-Sr,4
640,SrNbO3,Perovskite,-0.72,0.05,2.9,1.62,OER,0.77,2.85,Sr1 Nb1 O3,mp-1173150,0.0,Nb-O-Sr,4
644,SrOsO3,Perovskite,0.95,2.02,4.38,1.12,OER,1.07,2.36,Sr1 Os1 O3,mp-1105153,0.0,O-Os-Sr,4
658,SrTcO3,Perovskite,0.41,1.17,3.82,1.43,OER,0.76,2.65,Sr1 Tc1 O3,mp-12631,0.0,O-Sr-Tc,4
674,TbCrO3,Perovskite,0.57,1.36,3.92,1.45,OER,0.7900000000000001,2.5599999999999996,Tb1 Cr1 O3,mp-756124,2.4854000000000003,Cr-O-Tb,4
684,TbNbO3,Perovskite,-0.64,0.17,2.98,1.81,OER,0.81,2.81,Tb1 Nb1 O3,,,,4
686,TbNpO3,Perovskite,0.76,2.43,3.92,1.88,OER,1.6700000000000002,1.4899999999999998,Tb1 Np1 O3,,,,4
689,TbPuO3,Perovskite,0.67,2.2,3.99,1.8,OER,1.5300000000000002,1.79,Tb1 Pu1 O3,,,,4
694,TbTaO3,Perovskite,-0.79,0.32,2.91,2.05,OER,1.11,2.5900000000000003,Tb1 Ta1 O3,,,,4
696,TbUO3,Perovskite,0.49,2.0,3.77,1.75,OER,1.51,1.77,Tb1 U1 O3,,,,4
697,TbVO3,Perovskite,0.28,1.01,3.72,1.55,OER,0.73,2.71,Tb1 V1 O3,mp-1187389,0.0,O-Tb-V,4
700,ThCrO3,Perovskite,0.5,1.4,3.91,1.42,OER,0.8999999999999999,2.5100000000000002,Th1 Cr1 O3,,,,4
707,ThNpO3,Perovskite,0.63,2.24,3.82,1.89,OER,1.6100000000000003,1.5799999999999996,Th1 Np1 O3,,,,4
710,ThTiO3,Perovskite,0.42,1.96,3.87,1.5,OER,1.54,1.9100000000000001,Th1 Ti1 O3,,,,4
711,ThVO3,Perovskite,0.22,1.06,3.71,1.52,OER,0.8400000000000001,2.65,Th1 V1 O3,,,,4
716,TlCrO3,Perovskite,0.74,1.65,4.19,1.3,OER,0.9099999999999999,2.5400000000000005,Tl1 Cr1 O3,mp-1105306,0.43460000000000054,Cr-O-Tl,4
724,TlNbO3,Perovskite,-0.56,0.25,2.98,1.55,OER,0.81,2.73,Tl1 Nb1 O3,mp-977408,0.11160000000000014,Nb-O-Tl,4
726,TlNpO3,Perovskite,1.16,2.67,4.27,1.59,OER,1.51,1.5999999999999996,Tl1 Np1 O3,,,,4
727,TlOsO3,Perovskite,-0.09,0.49,3.18,1.24,OER,0.58,2.6900000000000004,Tl1 Os1 O3,,,,4
730,TlPuO3,Perovskite,1.05,2.49,4.29,1.55,OER,1.4400000000000002,1.7999999999999998,Tl1 Pu1 O3,mp-2647162,0.0,O-Pu-Tl,4
731,TlReO3,Perovskite,-0.17,1.38,3.02,1.35,OER,1.5499999999999998,1.6400000000000001,Tl1 Re1 O3,,,,4
736,TlTaO3,Perovskite,-0.78,0.08,2.76,1.72,OER,0.86,2.6799999999999997,Tl1 Ta1 O3,mp-676262,0.8725999999999998,O-Ta-Tl,4
737,TlTcO3,Perovskite,0.19,1.3,3.39,1.33,OER,1.11,2.09,Tl1 Tc1 O3,mp-1187623,0.0,O-Tc-Tl,4
739,TlUO3,Perovskite,0.97,2.38,4.18,1.48,OER,1.41,1.7999999999999998,Tl1 U1 O3,mp-865322,0.27360000000000007,O-Tl-U,4
740,TlVO3,Perovskite,0.43,1.33,4.02,1.35,OER,0.9000000000000001,2.6899999999999995,Tl1 V1 O3,mp-22330,2.7792000000000003,O-Tl-V,4
745,TmCrO3,Perovskite,0.65,1.49,4.0,1.42,OER,0.84,2.51,Tm1 Cr1 O3,mp-777295,2.4448,Cr-O-Tm,4
753,TmNbO3,Perovskite,-0.43,0.41,3.16,1.76,OER,0.84,2.75,Tm1 Nb1 O3,,,,4
756,TmOsO3,Perovskite,0.05,0.79,3.44,1.3,OER,0.74,2.65,Tm1 Os1 O3,,,,4
759,TmPuO3,Perovskite,0.71,2.37,4.0,1.75,OER,1.6600000000000001,1.63,Tm1 Pu1 O3,,,,4
760,TmReO3,Perovskite,-0.07,1.24,3.28,1.42,OER,1.31,2.04,Tm1 Re1 O3,,,,4
766,TmTaO3,Perovskite,-0.49,0.56,3.15,1.96,OER,1.05,2.59,Tm1 Ta1 O3,,,,4
767,TmTcO3,Perovskite,0.28,1.37,3.53,1.39,OER,1.09,2.1599999999999997,Tm1 Tc1 O3,,,,4
770,TmUO3,Perovskite,0.57,2.2,3.85,1.69,OER,1.6300000000000003,1.65,Tm1 U1 O3,,,,4
771,TmVO3,Perovskite,0.36,1.15,3.79,1.53,OER,0.7899999999999999,2.64,Tm1 V1 O3,mp-755258,0.0,O-Tm-V,4
778,YbCrO3,Perovskite,0.73,1.55,4.11,1.36,OER,0.8200000000000001,2.5600000000000005,Yb1 Cr1 O3,mp-1207582,0.0,Cr-O-Yb,4
787,YbNbO3,Perovskite,-0.63,0.1,2.95,1.58,OER,0.73,2.85,Yb1 Nb1 O3,mp-1187578,0.0,Nb-O-Yb,4
789,YbNpO3,Perovskite,1.06,2.67,4.27,1.64,OER,1.6099999999999999,1.5999999999999996,Yb1 Np1 O3,,,,4
790,YbOsO3,Perovskite,-0.05,0.7,3.31,1.27,OER,0.75,2.6100000000000003,Yb1 Os1 O3,,,,4
793,YbPuO3,Perovskite,0.97,2.47,4.31,1.59,OER,1.5000000000000002,1.8399999999999994,Yb1 Pu1 O3,mp-1187542,0.0,O-Pu-Yb,4
794,YbReO3,Perovskite,-0.15,1.41,3.14,1.38,OER,1.5599999999999998,1.7300000000000002,Yb1 Re1 O3,mp-1187535,0.0,O-Re-Yb,4
800,YbTaO3,Perovskite,-0.72,0.44,2.95,1.77,OER,1.16,2.5100000000000002,Yb1 Ta1 O3,mp-1187479,0.0,O-Ta-Yb,4
801,YbTcO3,Perovskite,0.23,1.29,3.42,1.34,OER,1.06,2.13,Yb1 Tc1 O3,mp-1187518,0.0,O-Tc-Yb,4
