,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,chemsys,cluster
404,LiTiO3,Perovskite,2.77,5.32,5.16,1.54,2.5500000000000003,Li1 Ti1 O3,,,,2
405,LiZrO3,Perovskite,2.61,5.45,5.07,1.61,2.8400000000000003,Li1 Zr1 O3,,,,2
406,LuAlO3,Perovskite,1.49,4.06,4.53,1.92,2.5699999999999994,Lu1 Al1 O3,mp-755358,3.6479,Al-Lu-O,2
412,LuGaO3,Perovskite,1.87,4.64,4.9,1.9,2.7699999999999996,Lu1 Ga1 O3,mp-768505,2.8827999999999996,Ga-Lu-O,2
413,LuInO3,Perovskite,1.54,4.43,4.63,1.91,2.8899999999999997,Lu1 In1 O3,,,,2
425,LuScO3,Perovskite,1.39,4.53,4.35,1.94,3.1400000000000006,Lu1 Sc1 O3,mp-776593,4.5878,Lu-O-Sc,2
430,MgAlO3,Perovskite,2.04,4.95,4.91,1.67,2.91,Mg1 Al1 O3,mp-1185841,0.0,Al-Mg-O,2
431,MgScO3,Perovskite,2.73,5.36,5.23,1.5,2.6300000000000003,Mg1 Sc1 O3,,,,2
432,MgYO3,Perovskite,2.65,5.34,5.19,1.46,2.69,Mg1 Y1 O3,,,,2
439,NaHfO3,Perovskite,2.13,5.03,4.98,1.67,2.9000000000000004,Na1 Hf1 O3,,,,2
451,NaSbO3,Perovskite,0.59,3.19,4.12,1.37,2.6,Na1 Sb1 O3,mp-752755,1.7037000000000004,Na-O-Sb,2
452,NaSnO3,Perovskite,1.78,4.66,4.88,1.65,2.88,Na1 Sn1 O3,,,,2
459,NaZrO3,Perovskite,2.19,5.07,5.03,1.66,2.8800000000000003,Na1 Zr1 O3,,,,2
466,NdGaO3,Perovskite,2.86,5.79,5.83,1.7,2.93,Nd1 Ga1 O3,mp-9834,0.0,Ga-Nd-O,2
467,NdGeO3,Perovskite,0.77,3.28,4.13,1.62,2.51,Nd1 Ge1 O3,mp-975347,0.0,Ge-Nd-O,2
468,NdInO3,Perovskite,1.74,4.64,4.83,1.7,2.8999999999999995,Nd1 In1 O3,mp-1186316,1.6467999999999998,In-Nd-O,2
483,NdScO3,Perovskite,1.59,4.6,4.48,1.74,3.01,Nd1 Sc1 O3,mp-31117,4.3025,Nd-O-Sc,2
484,NdSnO3,Perovskite,1.59,4.55,4.8,1.68,2.96,Nd1 Sn1 O3,,,,2
492,NdZrO3,Perovskite,1.33,4.28,4.31,1.86,2.95,Nd1 Zr1 O3,mp-1101702,0.0,Nd-O-Zr,2
497,PbGeO3,Perovskite,1.06,3.66,4.45,1.56,2.6,Pb1 Ge1 O3,mp-1017566,0.0,Ge-O-Pb,2
499,PbMgO3,Perovskite,1.75,4.53,4.73,1.59,2.7800000000000002,Pb1 Mg1 O3,mp-976722,0.0,Mg-O-Pb,2
512,PbSnO3,Perovskite,1.78,4.65,4.95,1.63,2.87,Pb1 Sn1 O3,mp-504543,0.0,O-Pb-Sn,2
520,PbZnO3,Perovskite,1.9,4.77,4.83,1.64,2.8699999999999997,Pb1 Zn1 O3,mp-1078329,0.0,O-Pb-Zn,2
521,PbZrO3,Perovskite,1.69,4.54,4.79,1.76,2.85,Pb1 Zr1 O3,mp-20337,2.6727000000000003,O-Pb-Zr,2
535,PrGaO3,Perovskite,2.86,5.8,5.83,1.71,2.94,Pr1 Ga1 O3,mp-9833,0.0,Ga-O-Pr,2
536,PrGaO3,Perovskite,2.41,5.08,5.41,1.71,2.67,Pr1 Ga1 O3,mp-9833,0.0,Ga-O-Pr,2
537,PrGeO3,Perovskite,0.82,3.33,4.23,1.65,2.5100000000000002,Pr1 Ge1 O3,,,,2
538,PrInO3,Perovskite,1.84,4.83,4.99,1.73,2.99,Pr1 In1 O3,mp-1105130,2.6335999999999995,In-O-Pr,2
540,PrMgO3,Perovskite,1.78,4.54,4.73,1.67,2.76,Pr1 Mg1 O3,,,,2
552,PrScO3,Perovskite,1.89,4.91,4.77,1.77,3.0200000000000005,Pr1 Sc1 O3,mp-559756,4.2605,O-Pr-Sc,2
557,PrZnO3,Perovskite,1.98,4.87,4.83,1.64,2.89,Pr1 Zn1 O3,,,,2
585,ScAlO3,Perovskite,0.7,4.07,3.8,2.14,3.37,Sc1 Al1 O3,mp-4471,4.591900000000001,Al-O-Sc,2
595,SmInO3,Perovskite,1.48,4.19,4.63,1.67,2.7100000000000004,Sm1 In1 O3,mp-752437,2.6396999999999995,In-O-Sm,2
610,SmScO3,Perovskite,1.24,4.15,4.33,1.71,2.91,Sm1 Sc1 O3,mp-31118,4.366899999999999,O-Sc-Sm,2
611,SmSnO3,Perovskite,1.4,4.12,4.63,1.66,2.72,Sm1 Sn1 O3,,,,2
619,SmZrO3,Perovskite,0.97,3.86,4.2,1.82,2.8899999999999997,Sm1 Zr1 O3,,,,2
621,SrAgO3,Perovskite,2.15,4.78,4.84,1.4,2.6300000000000003,Sr1 Ag1 O3,mp-979294,0.0,Ag-O-Sr,2
622,SrAlO3,Perovskite,2.15,4.9,4.83,1.53,2.7500000000000004,Sr1 Al1 O3,mp-978862,0.0,Al-O-Sr,2
625,SrCdO3,Perovskite,2.26,5.09,5.14,1.59,2.83,Sr1 Cd1 O3,,,,2
629,SrGaO3,Perovskite,2.21,5.04,4.98,1.6,2.83,Sr1 Ga1 O3,,,,2
630,SrGeO3,Perovskite,2.22,5.0,5.56,1.54,2.78,Sr1 Ge1 O3,mp-554869,3.5578000000000003,Ge-O-Sr,2
631,SrGeO3,Perovskite,1.11,3.87,4.53,1.53,2.76,Sr1 Ge1 O3,mp-554869,3.5578000000000003,Ge-O-Sr,2
632,SrHfO3,Perovskite,2.31,5.33,5.44,1.79,3.02,Sr1 Hf1 O3,mp-4673,4.0897,Hf-O-Sr,2
633,SrHfO3,Perovskite,1.24,4.18,4.47,1.71,2.9399999999999995,Sr1 Hf1 O3,mp-4673,4.0897,Hf-O-Sr,2
634,SrHgO3,Perovskite,2.13,4.76,5.27,1.39,2.63,Sr1 Hg1 O3,mp-971975,0.0,Hg-O-Sr,2
635,SrInO3,Perovskite,1.88,4.82,4.83,1.71,2.9400000000000004,Sr1 In1 O3,mp-972021,0.0,In-O-Sr,2
645,SrPbO3,Perovskite,1.54,4.21,4.74,1.44,2.67,Sr1 Pb1 O3,mp-20489,0.7941000000000003,O-Pb-Sr,2
653,SrScO3,Perovskite,2.18,5.14,4.93,1.73,2.9599999999999995,Sr1 Sc1 O3,mp-1187191,0.0,O-Sc-Sr,2
654,SrSiO3,Perovskite,2.18,4.85,5.45,1.44,2.6699999999999995,Sr1 Si1 O3,mp-3978,4.6258,O-Si-Sr,2
655,SrSnO3,Perovskite,2.09,5.03,5.43,1.71,2.9400000000000004,Sr1 Sn1 O3,mp-12867,1.5555000000000003,O-Sn-Sr,2
656,SrSnO3,Perovskite,1.22,4.06,4.49,1.62,2.84,Sr1 Sn1 O3,mp-12867,1.5555000000000003,O-Sn-Sr,2
660,SrTiO3,Perovskite,2.63,5.48,5.67,1.62,2.8500000000000005,Sr1 Ti1 O3,mp-551830,1.7869999999999995,O-Sr-Ti,2
662,SrTlO3,Perovskite,2.03,4.75,5.06,1.49,2.72,Sr1 Tl1 O3,mp-981367,0.0,O-Sr-Tl,2
667,SrYO3,Perovskite,1.58,4.55,4.57,1.74,2.9699999999999998,Sr1 Y1 O3,,,,2
668,SrZnO3,Perovskite,2.41,5.13,5.15,1.49,2.7199999999999998,Sr1 Zn1 O3,mp-1186757,0.0,O-Sr-Zn,2
669,SrZrO3,Perovskite,2.41,5.44,5.5,1.8,3.0300000000000002,Sr1 Zr1 O3,mp-613402,0.0,O-Sr-Zr,2
670,SrZrO3,Perovskite,1.3,4.16,4.54,1.63,2.8600000000000003,Sr1 Zr1 O3,mp-613402,0.0,O-Sr-Zr,2
671,TbAlO3,Perovskite,1.57,4.04,4.59,1.86,2.4699999999999998,Tb1 Al1 O3,mp-4434,5.598200000000001,Al-O-Tb,2
677,TbGaO3,Perovskite,1.98,4.77,4.95,1.83,2.7899999999999996,Tb1 Ga1 O3,mp-756290,3.443,Ga-O-Tb,2
678,TbGeO3,Perovskite,0.66,3.06,3.99,1.81,2.4,Tb1 Ge1 O3,mp-981132,0.0,Ge-O-Tb,2
679,TbInO3,Perovskite,1.6,4.53,4.66,1.85,2.93,Tb1 In1 O3,mp-769263,2.5934999999999997,In-O-Tb,2
681,TbMgO3,Perovskite,1.41,4.3,4.4,1.81,2.8899999999999997,Tb1 Mg1 O3,mp-1187347,0.0,Mg-O-Tb,2
693,TbScO3,Perovskite,1.46,4.6,4.39,1.88,3.1399999999999997,Tb1 Sc1 O3,mp-31119,4.4378,O-Sc-Tb,2
698,TbZnO3,Perovskite,1.66,4.61,4.61,1.81,2.95,Tb1 Zn1 O3,,,,2
704,ThMgO3,Perovskite,1.26,3.94,4.36,1.8,2.6799999999999997,Th1 Mg1 O3,,,,2
712,ThZnO3,Perovskite,1.53,4.22,4.6,1.8,2.6899999999999995,Th1 Zn1 O3,,,,2
719,TlGaO3,Perovskite,2.36,4.92,5.2,1.64,2.56,Tl1 Ga1 O3,mp-756909,0.2334000000000005,Ga-O-Tl,2
720,TlInO3,Perovskite,2.01,4.8,4.96,1.65,2.79,Tl1 In1 O3,,,,2
735,TlScO3,Perovskite,2.21,4.97,4.95,1.68,2.76,Tl1 Sc1 O3,mp-752429,0.9279999999999995,O-Sc-Tl,2
742,TmAlO3,Perovskite,1.47,4.06,4.54,1.86,2.59,Tm1 Al1 O3,mp-756281,5.7744,Al-O-Tm,2
